year,period,value,month
2026,M03,158637,3
2026,M02,158459,2
2026,M01,158592,1
2025,M12,158432,12
2025,M11,158449,11
2025,M10,158408,10
2025,M09,158548,9
2025,M08,158472,8
2025,M07,158542,7
2025,M06,158478,6
2025,M05,158498,5
2025,M04,158485,4
2025,M03,158377,3
2025,M02,158310,2
2025,M01,158268,1
2024,M12,158316,12
2024,M11,158079,11
2024,M10,157945,10
2024,M09,157912,9
2024,M08,157757,8
2024,M07,157748,7
2024,M06,157695,6
2024,M05,157608,5
2024,M04,157530,4
2024,M03,157466,3
2024,M02,157238,2
2024,M01,157032,1
2023,M12,156857,12
2023,M11,156703,11
2023,M10,156576,10
2023,M09,156417,9
2023,M08,156261,8
2023,M07,156043,7
2023,M06,155880,6
2023,M05,155655,5
2023,M04,155375,4
2023,M03,155134,3
2023,M02,155066,2
2023,M01,154776,1
2022,M12,154342,12
2022,M11,154242,11
2022,M10,153939,10
2022,M09,153582,9
2022,M08,153362,8
2022,M07,153072,7
2022,M06,152358,6
2022,M05,151924,5
2022,M04,151623,4
2022,M03,151315,3
2022,M02,150825,2
2022,M01,150006,1
2021,M12,149816,12
2021,M11,149230,11
2021,M10,148572,10
2021,M09,147771,9
2021,M08,147314,8
2021,M07,146762,7
2021,M06,145820,6
2021,M05,145065,5
2021,M04,144587,4
2021,M03,144232,3
2021,M02,143380,2
2021,M01,142863,1
2020,M12,142548,12
2020,M11,142733,11
2020,M10,142460,10
2020,M09,141770,9
2020,M08,140821,8
2020,M07,139255,7
2020,M06,137671,6
2020,M05,133040,5
2020,M04,130426,4
2020,M03,150895,3
2020,M02,152293,2
2020,M01,152031,1
2019,M12,151794,12
2019,M11,151667,11
2019,M10,151460,10
2019,M09,151365,9
2019,M08,151169,8
2019,M07,150937,7
2019,M06,150838,6
2019,M05,150618,5
2019,M04,150591,4
2019,M03,150295,3
2019,M02,150067,2
2019,M01,150060,1
2018,M12,149809,12
2018,M11,149617,11
2018,M10,149527,10
2018,M09,149358,9
2018,M08,149277,8
2018,M07,149020,7
2018,M06,148960,6
2018,M05,148742,5
2018,M04,148420,4
2018,M03,148280,3
2018,M02,148054,2
2018,M01,147660,1
2017,M12,147523,12
2017,M11,147372,11
2017,M10,147149,10
2017,M09,147008,9
2017,M08,146919,8
2017,M07,146772,7
2017,M06,146583,6
2017,M05,146380,5
2017,M04,146175,4
2017,M03,145970,3
2017,M02,145846,2
2017,M01,145628,1
2016,M12,145408,12
2016,M11,145183,11
2016,M10,145065,10
2016,M09,144967,9
2016,M08,144661,8
2016,M07,144520,7
2016,M06,144147,6
2016,M05,143900,5
2016,M04,143854,4
2016,M03,143662,3
2016,M02,143406,2
2016,M01,143210,1
