year,period,value,month
2026,M02,1104.84,2
2026,M01,1072.83,1
2025,M12,1134.48,12
2025,M11,1162.66,11
2025,M10,1126.98,10
2025,M09,1136.98,9
2025,M08,1120.60,8
2025,M07,1131.24,7
2025,M06,1145.07,6
2025,M05,1102.40,5
2025,M04,1118.51,4
2025,M03,1118.77,3
2025,M02,1131.83,2
2025,M01,1125.35,1
2024,M12,1140.30,12
2024,M11,1098.04,11
2024,M10,1119.36,10
2024,M09,1141.73,9
2024,M08,1112.16,8
2024,M07,1117.90,7
2024,M06,1134.64,6
2024,M05,1112.22,5
2024,M04,1122.24,4
2024,M03,1106.37,3
2024,M02,1113.21,2
2024,M01,1103.87,1
2023,M12,1110.75,12
2023,M11,1118.82,11
2023,M10,1156.40,10
2023,M09,1123.24,9
2023,M08,1127.17,8
2023,M07,1149.17,7
2023,M06,1123.46,6
2023,M05,1109.06,5
2023,M04,1122.98,4
2023,M03,1091.06,3
2023,M02,1091.40,2
2023,M01,1119.90,1
2022,M12,1073.52,12
2022,M11,1086.53,11
2022,M10,1115.85,10
2022,M09,1068.19,9
2022,M08,1082.85,8
2022,M07,1070.80,7
2022,M06,1068.12,6
2022,M05,1081.75,5
2022,M04,1081.65,4
2022,M03,1045.54,3
2022,M02,1054.22,2
2022,M01,1047.95,1
2021,M12,1049.42,12
2021,M11,1041.72,11
2021,M10,1049.21,10
2021,M09,1036.32,9
2021,M08,1059.74,8
2021,M07,1040.77,7
2021,M06,1021.68,6
2021,M05,1032.33,5
2021,M04,1029.83,4
2021,M03,1015.49,3
2021,M02,1013.35,2
2021,M01,996.32,1
2020,M12,1017.41,12
2020,M11,1028.31,11
2020,M10,998.43,10
2020,M09,983.81,9
2020,M08,1028.65,8
2020,M07,1008.42,7
2020,M06,1009.98,6
2020,M05,999.32,5
2020,M04,996.66,4
2020,M03,1006.89,3
2020,M02,1022.08,2
2020,M01,975.30,1
2019,M12,1000.29,12
2019,M11,970.15,11
2019,M10,968.63,10
2019,M09,1003.16,9
2019,M08,966.30,8
2019,M07,962.21,7
2019,M06,982.78,6
2019,M05,931.81,5
2019,M04,942.08,4
2019,M03,931.06,3
2019,M02,942.48,2
2019,M01,931.87,1
2018,M12,963.93,12
2018,M11,922.41,11
2018,M10,926.16,10
2018,M09,966.38,9
2018,M08,922.75,8
2018,M07,956.03,7
2018,M06,916.15,6
2018,M05,908.48,5
2018,M04,947.69,4
2018,M03,905.16,3
2018,M02,890.97,2
2018,M01,900.46,1
2017,M12,930.43,12
2017,M11,923.71,11
2017,M10,921.40,10
2017,M09,900.59,9
2017,M08,893.71,8
2017,M07,912.26,7
2017,M06,877.05,6
2017,M05,881.40,5
2017,M04,904.25,4
2017,M03,871.57,3
2017,M02,862.76,2
2017,M01,895.09,1
2016,M12,850.98,12
2016,M11,856.22,11
2016,M10,884.62,10
2016,M09,848.84,9
2016,M08,845.21,8
2016,M07,846.87,7
2016,M06,842.52,6
2016,M05,847.32,5
2016,M04,834.89,4
2016,M03,818.69,3
2016,M02,818.72,2
2016,M01,817.38,1
