year,period,value,month
2026,M02,33.0,2
2026,M01,32.5,1
2025,M12,32.6,12
2025,M11,33.2,11
2025,M10,32.6,10
2025,M09,32.7,9
2025,M08,32.5,8
2025,M07,33.0,7
2025,M06,33.2,6
2025,M05,32.3,5
2025,M04,32.6,4
2025,M03,32.4,3
2025,M02,32.2,2
2025,M01,32.6,1
2024,M12,33.1,12
2024,M11,32.4,11
2024,M10,33.0,10
2024,M09,33.6,9
2024,M08,33.1,8
2024,M07,33.5,7
2024,M06,34.3,6
2024,M05,33.4,5
2024,M04,33.6,4
2024,M03,33.7,3
2024,M02,33.5,2
2024,M01,32.4,1
2023,M12,33.7,12
2023,M11,34.1,11
2023,M10,34.8,10
2023,M09,34.7,9
2023,M08,34.8,8
2023,M07,35.1,7
2023,M06,34.6,6
2023,M05,34.4,5
2023,M04,34.5,4
2023,M03,34.0,3
2023,M02,34.0,2
2023,M01,34.3,1
2022,M12,33.6,12
2022,M11,34.2,11
2022,M10,34.6,10
2022,M09,33.9,9
2022,M08,34.3,8
2022,M07,34.2,7
2022,M06,34.5,6
2022,M05,34.2,5
2022,M04,34.1,4
2022,M03,33.5,3
2022,M02,33.8,2
2022,M01,33.3,1
2021,M12,33.7,12
2021,M11,33.8,11
2021,M10,33.9,10
2021,M09,33.9,9
2021,M08,34.7,8
2021,M07,34.6,7
2021,M06,34.4,6
2021,M05,34.7,5
2021,M04,34.5,4
2021,M03,34.4,3
2021,M02,34.2,2
2021,M01,33.9,1
2020,M12,34.5,12
2020,M11,34.6,11
2020,M10,34.5,10
2020,M09,33.6,9
2020,M08,35.0,8
2020,M07,34.3,7
2020,M06,34.4,6
2020,M05,34.4,5
2020,M04,33.9,4
2020,M03,34.4,3
2020,M02,34.6,2
2020,M01,33.9,1
2019,M12,34.6,12
2019,M11,34.1,11
2019,M10,34.3,10
2019,M09,35.1,9
2019,M08,34.4,8
2019,M07,34.5,7
2019,M06,34.9,6
2019,M05,33.7,5
2019,M04,33.9,4
2019,M03,33.6,3
2019,M02,33.6,2
2019,M01,33.8,1
2018,M12,34.5,12
2018,M11,34.1,11
2018,M10,34.0,10
2018,M09,34.6,9
2018,M08,34.1,8
2018,M07,35.2,7
2018,M06,34.3,6
2018,M05,34.0,5
2018,M04,34.6,4
2018,M03,33.8,3
2018,M02,33.8,2
2018,M01,33.7,1
2017,M12,34.9,12
2017,M11,34.7,11
2017,M10,34.6,10
2017,M09,34.4,9
2017,M08,34.4,8
2017,M07,34.7,7
2017,M06,34.1,6
2017,M05,33.9,5
2017,M04,34.5,4
2017,M03,33.9,3
2017,M02,33.9,2
2017,M01,34.4,1
2016,M12,34.3,12
2016,M11,34.4,11
2016,M10,35.3,10
2016,M09,34.2,9
2016,M08,34.4,8
2016,M07,34.3,7
2016,M06,34.7,6
2016,M05,34.5,5
2016,M04,34.4,4
2016,M03,33.9,3
2016,M02,34.0,2
2016,M01,34.2,1
