year,period,Us Unemployment,Afam Unemployment,Hispanic Unemployment,Asian Unemployment,White Unemployment,Men Unemployment,Nebraska Unemployment,Women Unemployment
2016,M01,5.3,8.5,5.9,3.6,4.2,4.8,3.0,4.9
2016,M02,5.2,8.6,5.5,3.8,4.2,4.9,3.0,4.8
2016,M03,5.1,8.9,5.6,3.9,4.3,4.9,3.0,5.1
2016,M04,4.7,8.8,6.2,3.8,4.4,5.1,3.0,5.0
2016,M05,4.5,8.2,5.7,4.1,4.2,4.8,3.1,4.8
2016,M06,5.1,8.7,6.0,3.6,4.3,4.9,3.1,4.8
2016,M07,5.1,8.2,5.4,3.8,4.2,5.0,3.2,4.5
2016,M08,5.0,8.0,5.6,4.1,4.4,5.0,3.2,4.8
2016,M09,4.8,8.5,6.2,3.8,4.4,5.1,3.2,4.8
2016,M10,4.7,8.5,5.7,3.4,4.4,5.0,3.2,4.7
2016,M11,4.4,8.2,5.6,3.1,4.2,4.9,3.2,4.6
2016,M12,4.5,8.0,5.8,2.7,4.2,4.8,3.1,4.6
2017,M01,5.1,7.5,5.8,3.6,4.2,4.7,3.1,4.7
2017,M02,4.9,8.0,5.6,3.5,4.0,4.6,3.0,4.6
2017,M03,4.6,7.8,5.0,3.2,3.8,4.5,2.9,4.3
2017,M04,4.1,7.7,5.2,3.3,3.9,4.4,2.9,4.5
2017,M05,4.1,7.7,5.2,3.6,3.7,4.3,2.9,4.4
2017,M06,4.5,6.9,5.0,3.7,3.8,4.3,2.9,4.3
2017,M07,4.6,7.3,5.1,3.7,3.8,4.4,2.9,4.2
2017,M08,4.5,7.7,5.1,3.9,3.9,4.5,2.9,4.3
2017,M09,4.1,7.2,5.1,3.6,3.7,4.3,3.0,4.2
2017,M10,3.9,7.6,5.0,3.0,3.6,4.3,3.0,4.0
2017,M11,3.9,7.5,4.9,3.1,3.7,4.3,3.0,4.1
2017,M12,3.9,6.7,5.0,2.6,3.7,4.2,3.0,4.1
2018,M01,4.5,7.5,4.9,2.9,3.5,4.1,2.9,4.0
2018,M02,4.4,6.8,4.9,3.0,3.6,4.0,2.9,4.1
2018,M03,4.1,6.7,4.9,3.1,3.5,4.0,2.9,4.0
2018,M04,3.7,6.4,4.8,2.9,3.6,4.1,2.8,3.9
2018,M05,3.6,5.9,4.8,2.2,3.5,4.0,2.8,3.6
